id,IP,site_location,discharge_id,start_time,end_time,duration_min,start_cause,stop_cause,init_cap_rate1,init_cap_rate2,init_cap_rate3,init_cap_rate4,final_cap_rate1,final_cap_rate2,final_cap_rate3,final_cap_rate4,init_batt_volt1,init_batt_volt2,init_batt_volt3,init_batt_volt4,final_batt_volt1,final_batt_volt2,final_batt_volt3,final_batt_volt4,init_batt_disch_power1,init_batt_disch_power2,init_batt_disch_power3,init_batt_disch_power4,final_batt_disch_power1,final_batt_disch_power2,final_batt_disch_power3,final_batt_disch_power4,batt_type,temp
1542,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,401,2025-11-20 20:00:01,2025-11-20 22:09:01,129,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,69.0,0.0,0.0,54.7,54.7,0.0,0.0,46.6,46.7,0.0,0.0,,,,,,,,,LEAD_ACID,
1543,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,400,2025-11-18 20:00:01,2025-11-18 22:13:45,133,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,69.0,0.0,0.0,54.4,54.4,0.0,0.0,46.7,46.8,0.0,0.0,,,,,,,,,LEAD_ACID,
1544,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,399,2025-11-16 20:00:01,2025-11-16 22:12:47,132,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,69.0,0.0,0.0,54.8,54.8,0.0,0.0,46.8,46.8,0.0,0.0,,,,,,,,,LEAD_ACID,
1545,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,398,2025-11-14 20:00:01,2025-11-14 22:08:58,128,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,70.0,0.0,0.0,54.5,54.4,0.0,0.0,46.9,47.0,0.0,0.0,,,,,,,,,LEAD_ACID,
1546,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,397,2025-11-12 20:00:01,2025-11-12 22:10:07,130,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,71.0,0.0,0.0,54.4,54.4,0.0,0.0,47.2,47.2,0.0,0.0,,,,,,,,,LEAD_ACID,
1547,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,396,2025-11-10 20:00:01,2025-11-10 22:12:25,132,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,71.0,0.0,0.0,54.3,54.3,0.0,0.0,47.1,47.2,0.0,0.0,,,,,,,,,LEAD_ACID,
1548,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,395,2025-11-08 20:00:01,2025-11-08 22:12:38,132,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,71.0,0.0,0.0,53.9,53.9,0.0,0.0,47.2,47.3,0.0,0.0,,,,,,,,,LEAD_ACID,
1549,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,394,2025-11-06 20:00:01,2025-11-06 22:11:17,131,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,72.0,0.0,0.0,54.2,54.2,0.0,0.0,47.1,47.2,0.0,0.0,,,,,,,,,LEAD_ACID,
1550,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,393,2025-11-04 20:00:01,2025-11-04 22:13:27,133,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,72.0,0.0,0.0,54.0,54.0,0.0,0.0,47.1,47.1,0.0,0.0,,,,,,,,,LEAD_ACID,
1551,10.61.49.180,SEL.Orhon_BelenDalai_Unitel,392,2025-11-02 20:00:00,2025-11-02 22:08:49,128,SCHEDULED,BATTERY_CAPACITY,100.0,100.0,0.0,0.0,65.0,72.0,0.0,0.0,53.9,53.9,0.0,0.0,47.0,47.1,0.0,0.0,,,,,,,,,LEAD_ACID,
